,id,song,album,singers,genres,popularity,decade,thumbnail,singers_list,genres_list
4546,1lMaDSraU3oiNUsVWJLHdF,Let Us Love and Sing and Wonder,Redemption Songs,['Jars Of Clay'],"['ccm', 'christian alternative rock', 'christian music', 'worship']",44,20,https://i.scdn.co/image/ab1797bf422c2f1951b2a2c76496db08c9382132,['Jars Of Clay'],"['ccm', ' christian alternative rock', ' christian music', ' worship']"
4547,0I4Bk2s2BUJyykCwtxx8Xx,Come Ye Sinners / Musical Priest ,The Greengrass Session,['Keith & Kristyn Getty'],"['christian music', 'roots worship', 'worship']",53,20,https://i.scdn.co/image/ab6761610000e5ebcca46d9952f21625f03bd94d,['Keith & Kristyn Getty'],"['christian music', ' roots worship', ' worship']"
4548,0HoHU8SXe0g9jJGOfL8rDq,On Jordan's Stormy Banks ,The Hymn Sing ,['Indelible Grace Music'],['roots worship'],37,20,https://i.scdn.co/image/ab67616d0000b273bb0d81f386c0ace72c8d871e,['Indelible Grace Music'],['roots worship']
4549,4OnCEh1bwvvTuq9X0kM0iS,It Is Well With My Soul,In the Cool of the Day,['Daniel Martin Moore'],['roots worship'],27,20,https://i.scdn.co/image/75bbf8cb0a39b5ab5f15720b4faa6044ef1086a3,['Daniel Martin Moore'],['roots worship']
4550,7kwEvDE8e7EBGKh5bLczqQ,Doxology ,Hymns,"['Anthem Lights', 'Selah']","['ccm', 'christian alternative rock', 'christian music', 'viral pop', 'worship']",58,20,https://i.scdn.co/image/ab6761610000e5eb1be74476ce61841c9f19f30e,"['Anthem Lights', ' Selah']","['ccm', ' christian alternative rock', ' christian music', ' viral pop', ' worship']"
4551,4MXUO7sVCaFgFjoTI5ox5c,Come Thou Fount of Every Blessing,Songs For Christmas,['Sufjan Stevens'],"['baroque pop', 'chamber pop', 'singer-songwriter']",70,20,https://i.scdn.co/image/ab6761610000e5eb6bb28451de514ef1f3c5bf30,['Sufjan Stevens'],"['baroque pop', ' chamber pop', ' singer-songwriter']"
4552,64bkd3Cql2VeQBIfl5tjCC,Jesus Paid It All,Asaph's Arrows,['Kings (MHM)'],"['christian indie', 'roots worship']",37,20,https://i.scdn.co/image/ab67616d0000b273f7a30330cd1ad36f2190599b,['Kings (MHM)'],"['christian indie', ' roots worship']"
4553,3obIEwSdJCDahAb7WtFdjg,Before The Throne Of God Above,Before The Throne,['Sojourn'],"['christian uplift', 'roots worship']",28,20,https://i.scdn.co/image/ab6761610000e5eb5a9b20420d3054bb8227c653,['Sojourn'],"['christian uplift', ' roots worship']"
4554,5TB43hYVZMxI193JCzyQJb,'tis So Sweet To Trust In Jesus,Hymns ,['Page CXVI'],"['christian uplift', 'indiecoustica', 'roots worship']",38,20,https://i.scdn.co/image/ab6761610000e5ebff6e6c370ff231d596749443,['Page CXVI'],"['christian uplift', ' indiecoustica', ' roots worship']"
4555,4MXUO7sVCaFgFjoTI5ox5c,Amazing Grace,Songs For Christmas,['Sufjan Stevens'],"['baroque pop', 'chamber pop', 'singer-songwriter']",70,20,https://i.scdn.co/image/ab6761610000e5eb6bb28451de514ef1f3c5bf30,['Sufjan Stevens'],"['baroque pop', ' chamber pop', ' singer-songwriter']"
4556,4OnCEh1bwvvTuq9X0kM0iS,Softly and Tenderly,In the Cool of the Day,['Daniel Martin Moore'],['roots worship'],27,20,https://i.scdn.co/image/75bbf8cb0a39b5ab5f15720b4faa6044ef1086a3,['Daniel Martin Moore'],['roots worship']
4557,64bkd3Cql2VeQBIfl5tjCC,In Christ Alone,Asaph's Arrows,['Kings (MHM)'],"['christian indie', 'roots worship']",37,20,https://i.scdn.co/image/ab67616d0000b273f7a30330cd1ad36f2190599b,['Kings (MHM)'],"['christian indie', ' roots worship']"
4558,7x8nK0m0cP2ksQf0mjWdPS,Different For Girls,Black,"['Dierks Bentley', 'Elle King']","['contemporary country', 'country', 'country road']",69,20,https://i.scdn.co/image/ab6761610000e5eb216761ffe7a997ad324be2bf,"['Dierks Bentley', ' Elle King']","['contemporary country', ' country', ' country road']"
4559,382aq8Pij5V2nE2JMHMoxl,Play the Field,The Hype,['Hoodie Allen'],"['indie pop rap', 'pop rap']",59,20,https://i.scdn.co/image/ab6761610000e5eb41556e7443cc863bfb79ba81,['Hoodie Allen'],"['indie pop rap', ' pop rap']"
4560,2mxe0TnaNL039ysAj51xPQ,I'm a Flirt Remix ,The Essential R. Kelly,"['R. Kelly', 'T.I.', 'T-Pain']",[],66,20,https://i.scdn.co/image/b81390065f0c65c26270a4ca1d2ceae3e30efed6,"['R Kelly', ' TI', ' T-Pain']",['']
4561,1TMrnxBwZfmfRxsGzkNIHw,You Can't Stop Me,Never Land,['Andy Mineo'],"['christian hip hop', 'christian trap']",61,20,https://i.scdn.co/image/ab6761610000e5eb7910a6f4d8ab3b5a3002763e,['Andy Mineo'],"['christian hip hop', ' christian trap']"
4562,3WrFJ7ztbogyGnTHbHJFl2,Lucy In The Sky With Diamonds ,Sgt. Pepper's Lonely Hearts Club Band ,['The Beatles'],"['beatlesque', 'british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']",83,19,https://i.scdn.co/image/ab6761610000e5ebe9348cc01ff5d55971b22433,['The Beatles'],"['beatlesque', ' british invasion', ' classic rock', ' merseybeat', ' psychedelic rock', ' rock']"
4563,4ytkhMSAnrDP8XzRNlw9FS,Linus And Lucy,A Charlie Brown Christmas [2012 Remastered & Expanded Edition],['Vince Guaraldi Trio'],"['adult standards', 'jazz trio', 'lounge']",48,19,https://i.scdn.co/image/822d7cac5aa9649b2c8a0be5da89567f8b80ca56,['Vince Guaraldi Trio'],"['adult standards', ' jazz trio', ' lounge']"
4564,22bE4uQ6baNwSHPVcDxLCe,Paint It Black,Singles 1965,['The Rolling Stones'],"['album rock', 'british invasion', 'classic rock', 'rock']",77,20,https://i.scdn.co/image/ab6761610000e5ebd3cb15a8570cce5a63af63d8,['The Rolling Stones'],"['album rock', ' british invasion', ' classic rock', ' rock']"
4565,3fMbdgg4jU18AjLCKBhRSm,Thriller ,The Essential Michael Jackson,['Michael Jackson'],"['pop', 'r&b', 'soul']",80,20,https://i.scdn.co/image/ab6761610000e5eba2a0b9e3448c1e702de9dc90,['Michael Jackson'],"['pop', ' r&b', ' soul']"
4566,0rvjqX7ttXeg3mTy8Xscbt,Open Arms,The Essential Journey,['Journey'],"['album rock', 'classic rock', 'hard rock', 'mellow gold', 'rock', 'soft rock']",72,20,https://i.scdn.co/image/ab6761610000e5ebe848dfb35ea4969099662dfd,['Journey'],"['album rock', ' classic rock', ' hard rock', ' mellow gold', ' rock', ' soft rock']"
4567,3eqjTLE0HfPfh78zjh6TqT,Dancing In the Dark,Born In The U.S.A.,['Bruce Springsteen'],"['classic rock', 'heartland rock', 'mellow gold', 'permanent wave', 'rock', 'singer-songwriter', 'soft rock']",74,19,https://i.scdn.co/image/ab6761610000e5ebd0cb49906c4f8080a5813d95,['Bruce Springsteen'],"['classic rock', ' heartland rock', ' mellow gold', ' permanent wave', ' rock', ' singer-songwriter', ' soft rock']"
4568,2kreKea2n96dXjcyAU9j5N,I'm So Excited,So Excited! ,['The Pointer Sisters'],"['dance pop', 'disco', 'girl group', 'hi-nrg', 'mellow gold', 'new wave pop', 'soft rock']",62,19,https://i.scdn.co/image/ab6772690000c46c8c57ac844d8c2170149462e3,['The Pointer Sisters'],"['dance pop', ' disco', ' girl group', ' hi-nrg', ' mellow gold', ' new wave pop', ' soft rock']"
4569,0f3EsoviYnRKTkmayI3cux,Down Under,The Essential Men At Work,['Men At Work'],"['album rock', 'australian rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'rock', 'soft rock']",63,19,https://i.scdn.co/image/296d057590a19ef7dbbe9205186e96cd6078c290,['Men At Work'],"['album rock', ' australian rock', ' mellow gold', ' new romantic', ' new wave', ' new wave pop', ' rock', ' soft rock']"
4570,5IDs1CK15HegSAhGEbSYXo,Caribbean Queen ,Here You Are: The Music of My Life,['Billy Ocean'],"['disco', 'mellow gold', 'new romantic', 'new wave pop', 'soft rock', 'yacht rock']",61,20,https://i.scdn.co/image/ab6761610000e5eb32077f76ce695c7dfa2686aa,['Billy Ocean'],"['disco', ' mellow gold', ' new romantic', ' new wave pop', ' soft rock', ' yacht rock']"
4571,5a2EaR3hamoenG9rDuVn8j,Kiss,Parade ,['Prince'],"['funk', 'funk rock', 'minneapolis sound', 'synth funk']",70,19,https://i.scdn.co/image/ab6761610000e5ebeaca358712b3fe4ed9814640,['Prince'],"['funk', ' funk rock', ' minneapolis sound', ' synth funk']"
4572,77tT1kLj6mCWtFNqiOmP9H,Maneater,H2O,['Daryl Hall & John Oates'],"['album rock', 'classic rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",70,19,https://i.scdn.co/image/ab6761610000e5ebae81417d966e209b735b1160,['Daryl Hall & John Oates'],"['album rock', ' classic rock', ' mellow gold', ' rock', ' soft rock', ' yacht rock']"
4573,3daM7asS0gCFvyLemNx2EE,What I Like About You,What I Like About You ,['The Romantics'],"['album rock', 'classic rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'power pop', 'soft rock', 'synthpop']",55,19,https://i.scdn.co/image/ab6761610000e5ebb39679d47a3857df9ad4a750,['The Romantics'],"['album rock', ' classic rock', ' mellow gold', ' new romantic', ' new wave', ' new wave pop', ' power pop', ' soft rock', ' synthpop']"
4574,0gxyHStUsqpMadRV0Di1Qt,Never Gonna Give You Up,Platinum & Gold Collection,['Rick Astley'],"['disco', 'new romantic', 'new wave pop', 'soft rock', 'sophisti-pop', 'synthpop']",64,20,https://i.scdn.co/image/ab6761610000e5ebf1d6f8f30418698972d8a932,['Rick Astley'],"['disco', ' new romantic', ' new wave pop', ' soft rock', ' sophisti-pop', ' synthpop']"
4575,3Y3xIwWyq5wnNHPp5gPjOW,Danger Zone ,"Yesterday, Today, Tomorrow ",['Kenny Loggins'],"['album rock', 'classic rock', 'mellow gold', 'new wave pop', 'soft rock', 'yacht rock']",65,19,https://i.scdn.co/image/ab6761610000e5ebe5ade0d346536449c7a75b48,['Kenny Loggins'],"['album rock', ' classic rock', ' mellow gold', ' new wave pop', ' soft rock', ' yacht rock']"
4576,55vs7NT1KxcFjbMC4y202E,Keep on Loving You,Hi Infidelity ,['REO Speedwagon'],"['album rock', 'classic rock', 'hard rock', 'heartland rock', 'mellow gold', 'pop rock', 'rock', 'soft rock']",63,19,https://i.scdn.co/image/ab6761610000e5ebfc5a03aa1823cfbe08b8b2ed,['REO Speedwagon'],"['album rock', ' classic rock', ' hard rock', ' heartland rock', ' mellow gold', ' pop rock', ' rock', ' soft rock']"
4577,1zxDewzd2j1ZdSBGaYcr0y,Your Love,Super Hits,['The Outfield'],"['album rock', 'mellow gold', 'new wave pop', 'power pop', 'soft rock']",63,19,https://i.scdn.co/image/a15f9228f28116fa806529942dbe38e8e0123388,['The Outfield'],"['album rock', ' mellow gold', ' new wave pop', ' power pop', ' soft rock']"
4578,27T030eWyCQRmDyuvr1kxY,Rock You Like a Hurricane,Stranger Things ,['Scorpions'],"['album rock', 'german hard rock', 'german metal', 'german rock', 'hard rock', 'metal', 'rock']",72,20,https://i.scdn.co/image/ab6761610000e5eb7440170c0628c2945da819c3,['Scorpions'],"['album rock', ' german hard rock', ' german metal', ' german rock', ' hard rock', ' metal', ' rock']"
4579,0uAjBatvB4ubpd4kCfjmNt,I Ran,Hits Of The 80s ,['A Flock Of Seagulls'],"['new romantic', 'new wave', 'new wave pop', 'synthpop']",56,20,https://i.scdn.co/image/0e0b74658f7e16190f23d795648c888c4dd40f2a,['A Flock Of Seagulls'],"['new romantic', ' new wave', ' new wave pop', ' synthpop']"
