,id,song,tags,thumbnail
39,6CXEwIaXYfVJ84biCxqc9k,raat gayi so baat gayi,"raat gayi so baat gayi ,vishal dadlani, asees kaur, sachin-jigar,desi hip hop, desi pop, filmi, modern bollywood,20,68",https://i.scdn.co/image/ab6761610000e5eb76328e37a2c1280ab9adb90c
40,4f7KfxeHq9BiylGmyXepGt,zaalima coca cola,"zaalima coca cola,tanishk bagchi, shreya ghoshal, taafu, nora fatehi,desi pop, modern bollywood,20,75",https://i.scdn.co/image/ab6761610000e5eb50559387e7830328533792a6
41,0y59o4v8uw5crbN9M3JiL1,baawla,"baawla,badshah, uchana amit,desi hip hop, desi pop, desi trap, haryanvi pop, modern bollywood,20,73",https://i.scdn.co/image/ab6761610000e5eb65c4852dfd1db12654bdf188
42,1sVmXkzX2ukc6QvasrDBES,52 gaj ka daman,"52 gaj ka daman ,asees kaur, renuka panwar,desi pop, filmi, modern bollywood,20,70",https://i.scdn.co/image/ab6761610000e5eb7a3ea02cd6c3eb5a360c8e11
43,7hVmdlsJp0E2WQIvVl8ngN,shanti,"shanti,millind gaba, music mg,desi pop, modern bollywood, punjabi pop,20,57",https://i.scdn.co/image/ab6761610000e5eb0cd4a939e69bf46f41f0c2eb
44,4f7KfxeHq9BiylGmyXepGt,jee ni karda,"jee ni karda ,tanishk bagchi, jass manak, nikhita gandhi, manak-e,desi pop, modern bollywood,20,75",https://i.scdn.co/image/ab6761610000e5eb50559387e7830328533792a6
45,2GoeZ0qOTt6kjsWW4eA6LS,vilayati sharaab,"vilayati sharaab,darshan raval, neeti mohan,desi pop, gujarati pop, modern bollywood,20,69",https://i.scdn.co/image/ab6761610000e5ebdeacc5d117ec61f6388af7de
46,4ii2wer2TGC01Cx1utlGZx,tu mera sanam,"tu mera sanam,ishaan khan, aishwarya tripathi, yakshaj jagtap,,20,30",https://i.scdn.co/image/ab6761610000e5ebf3ef2a50855bd47de5191d4f
47,3C7kSV4XIr4XrrNctgAG1v,i swear,"i swear,shibani kashyap, shobi sarwan,,20,28",https://i.scdn.co/image/ab6761610000e5ebda923494b6bd514805376280
48,72FQZIJkOLdKV0YKqS024h,khoya,"khoya,siddhant bhosle, sukriti kakar,hindi indie,20,31",https://i.scdn.co/image/ab6761610000e5ebf694a8704a138b7b14b8b04e
49,1yzgJmZf5CxtFfGfRFm4Si,dna of love,"dna of love,gajendra verma, swaransh mishra,desi pop, filmi, modern bollywood,20,61",https://i.scdn.co/image/ab67616d0000b27361a438f3c82f1b9ebc1ae0c8
50,6RF8hEdlUKoLPQOHmBbHiM,kayi din huye,"kayi din huye,yasser desai,desi pop, filmi, modern bollywood,20,66",https://i.scdn.co/image/ab6761610000e5eb2b7ca321131b0adb237d2fe8
51,3yMmYEklQ7gLOZXEFNd3xr,tujhe yaad badi aaungi,"tujhe yaad badi aaungi,palak muchhal,desi pop, filmi, modern bollywood,20,66",https://i.scdn.co/image/ab6761610000e5eb37d0a183ce70dd31008f5622
52,4p4ILwTCyu0exslJsiQzZP,dil ne,"dil ne,kasyap,,20,42",https://i.scdn.co/image/ab6761610000e5eba0223e34a91c1195dc1815e9
53,1SAfLgPPu8S6NWUJES6LNO,benaqab,"benaqab,lakhwinder wadali, aar bee,bhangra,20,37",https://i.scdn.co/image/ab67616d0000b273ddb73e3d18b75af36025e218
